"date","median_ndvi","landsat","year","month","day"
2010-02-02,0.68986159658432,"MODIS→ETM+",2010,2,2
2010-02-07,0.627708781912457,"MODIS→ETM+",2010,2,7
2010-02-12,0.613977985683828,"MODIS→ETM+",2010,2,12
2010-02-17,0.659761172748637,"MODIS→ETM+",2010,2,17
2010-02-22,0.598854609461358,"MODIS→ETM+",2010,2,22
2010-02-27,0.540437984619317,"MODIS→ETM+",2010,2,27
2010-03-04,0.537208149793292,"MODIS→ETM+",2010,3,4
2010-03-09,0.524888903595851,"MODIS→ETM+",2010,3,9
2010-03-14,0.49251626253128,"MODIS→ETM+",2010,3,14
2010-03-19,0.465140090537025,"MODIS→ETM+",2010,3,19
2010-03-24,0.450697245970369,"MODIS→ETM+",2010,3,24
2010-03-29,0.453523424332962,"MODIS→ETM+",2010,3,29
2010-04-03,0.471884790703655,"MODIS→ETM+",2010,4,3
2010-04-08,0.479231095871889,"MODIS→ETM+",2010,4,8
2010-04-13,0.443042901664973,"MODIS→ETM+",2010,4,13
2010-04-18,0.426093597920845,"MODIS→ETM+",2010,4,18
2010-04-23,0.429125945568085,"MODIS→ETM+",2010,4,23
2010-04-28,0.448346747383476,"MODIS→ETM+",2010,4,28
2010-05-03,0.458757390532643,"MODIS→ETM+",2010,5,3
2010-05-08,0.452094275710639,"MODIS→ETM+",2010,5,8
2010-05-13,0.443600084424019,"MODIS→ETM+",2010,5,13
2010-05-18,0.435435705378419,"MODIS→ETM+",2010,5,18
2010-05-23,0.430571299748495,"MODIS→ETM+",2010,5,23
2010-05-28,0.432302807505476,"MODIS→ETM+",2010,5,28
2010-06-02,0.442457275390625,"MODIS→ETM+",2010,6,2
2010-06-07,0.465309864487499,"MODIS→ETM+",2010,6,7
2010-06-12,0.500152084510773,"MODIS→ETM+",2010,6,12
2010-06-17,0.546907649089117,"MODIS→ETM+",2010,6,17
2010-06-22,0.608190569072962,"MODIS→ETM+",2010,6,22
2010-06-27,0.665131306653563,"MODIS→ETM+",2010,6,27
2010-07-02,0.698800758390874,"MODIS→ETM+",2010,7,2
2010-07-07,0.713185369875539,"MODIS→ETM+",2010,7,7
2010-07-12,0.713326668685913,"MODIS→ETM+",2010,7,12
2010-07-17,0.704320276918482,"MODIS→ETM+",2010,7,17
2010-07-22,0.690987523635119,"MODIS→ETM+",2010,7,22
2010-07-27,0.678149737897698,"MODIS→ETM+",2010,7,27
