"date","median_ndvi","landsat","year","month","day"
2010-02-02,0.558237587928772,"MODIS→ETM+",2010,2,2
2010-02-07,0.520728337837383,"MODIS→ETM+",2010,2,7
2010-02-12,0.508727440558374,"MODIS→ETM+",2010,2,12
2010-02-17,0.527422023535706,"MODIS→ETM+",2010,2,17
2010-02-22,0.476854168100283,"MODIS→ETM+",2010,2,22
2010-02-27,0.429845877091135,"MODIS→ETM+",2010,2,27
2010-03-04,0.425450633894458,"MODIS→ETM+",2010,3,4
2010-03-09,0.417127050959658,"MODIS→ETM+",2010,3,9
2010-03-14,0.398369237661361,"MODIS→ETM+",2010,3,14
2010-03-19,0.38151360934088,"MODIS→ETM+",2010,3,19
2010-03-24,0.367531087036446,"MODIS→ETM+",2010,3,24
2010-03-29,0.358222900822664,"MODIS→ETM+",2010,3,29
2010-04-03,0.357589051372301,"MODIS→ETM+",2010,4,3
2010-04-08,0.357065602739975,"MODIS→ETM+",2010,4,8
2010-04-13,0.350178373328087,"MODIS→ETM+",2010,4,13
2010-04-18,0.34858420098473,"MODIS→ETM+",2010,4,18
2010-04-23,0.351053509950638,"MODIS→ETM+",2010,4,23
2010-04-28,0.372336827814429,"MODIS→ETM+",2010,4,28
2010-05-03,0.384536545773969,"MODIS→ETM+",2010,5,3
2010-05-08,0.37624758855463,"MODIS→ETM+",2010,5,8
2010-05-13,0.368640937536955,"MODIS→ETM+",2010,5,13
2010-05-18,0.360826536349719,"MODIS→ETM+",2010,5,18
2010-05-23,0.352528752455487,"MODIS→ETM+",2010,5,23
2010-05-28,0.355144476076821,"MODIS→ETM+",2010,5,28
2010-06-02,0.367041056156159,"MODIS→ETM+",2010,6,2
2010-06-07,0.376925088175339,"MODIS→ETM+",2010,6,7
2010-06-12,0.410773599823936,"MODIS→ETM+",2010,6,12
2010-06-17,0.475074961280683,"MODIS→ETM+",2010,6,17
2010-06-22,0.539616565063596,"MODIS→ETM+",2010,6,22
2010-06-27,0.588533182658255,"MODIS→ETM+",2010,6,27
2010-07-02,0.599045200824738,"MODIS→ETM+",2010,7,2
2010-07-07,0.614418915902264,"MODIS→ETM+",2010,7,7
2010-07-12,0.64070913696289,"MODIS→ETM+",2010,7,12
2010-07-17,0.702715873156182,"MODIS→ETM+",2010,7,17
2010-07-22,0.72445581227716,"MODIS→ETM+",2010,7,22
2010-07-27,0.725151032238041,"MODIS→ETM+",2010,7,27
2010-08-01,0.725400517368093,"MODIS→ETM+",2010,8,1
2010-08-06,0.723778011813512,"MODIS→ETM+",2010,8,6
2010-08-11,0.699517709583531,"MODIS→ETM+",2010,8,11
2010-08-16,0.719920347402338,"MODIS→ETM+",2010,8,16
2010-08-21,0.765781429290771,"MODIS→ETM+",2010,8,21
