date,year,month,day,median_ndvi,landsat
"02-02-2010",2010,2,2,0.40462201833725,MODIS
10-02-2010,2010,2,10,0.438504993915558,MODIS
18-02-2010,2010,2,18,0.41245299577713,MODIS
26-02-2010,2010,2,26,0.383095502853394,MODIS
"06-03-2010",2010,3,6,0.405539989471436,MODIS
14-03-2010,2010,3,14,0.368202298879623,MODIS
22-03-2010,2010,3,22,0.377547919750214,MODIS
30-03-2010,2010,3,30,0.358735531568527,MODIS
"07-04-2010",2010,4,7,0.343377709388733,MODIS
15-04-2010,2010,4,15,0.313780039548874,MODIS
23-04-2010,2010,4,23,0.319113105535507,MODIS
"01-05-2010",2010,5,1,0.316243797540665,MODIS
"09-05-2010",2010,5,9,0.325501441955566,MODIS
17-05-2010,2010,5,17,0.324503302574158,MODIS
25-05-2010,2010,5,25,0.31547150015831,MODIS
"02-06-2010",2010,6,2,0.335275769233704,MODIS
10-06-2010,2010,6,10,0.350748032331467,MODIS
18-06-2010,2010,6,18,0.452452450990677,MODIS
26-06-2010,2010,6,26,nan,MODIS
"04-07-2010",2010,7,4,nan,MODIS
12-07-2010,2010,7,12,nan,MODIS
20-07-2010,2010,7,20,nan,MODIS
28-07-2010,2010,7,28,nan,MODIS
"05-08-2010",2010,8,5,nan,MODIS
13-08-2010,2010,8,13,nan,MODIS
21-08-2010,2010,8,21,nan,MODIS
29-08-2010,2010,8,29,nan,MODIS
"06-09-2010",2010,9,6,0.648066759109497,MODIS
14-09-2010,2010,9,14,nan,MODIS
22-09-2010,2010,9,22,0.720707058906555,MODIS
30-09-2010,2010,9,30,0.72591507434845,MODIS
"08-10-2010",2010,10,8,0.679245293140411,MODIS
16-10-2010,2010,10,16,0.616231858730316,MODIS
24-10-2010,2010,10,24,0.675659477710724,MODIS
"01-11-2010",2010,11,1,0.576923072338104,MODIS
"09-11-2010",2010,11,9,0.598548114299774,MODIS
17-11-2010,2010,11,17,0.527883887290955,MODIS
25-11-2010,2010,11,25,0.519379854202271,MODIS
"03-12-2010",2010,12,3,0.576599657535553,MODIS
11-12-2010,2010,12,11,0.445605874061584,MODIS
19-12-2010,2010,12,19,0.512214064598083,MODIS
27-12-2010,2010,12,27,0.438609480857849,MODIS
"01-01-2011",2011,1,1,0.438609480857849,MODIS
"09-01-2011",2011,1,9,0.408043742179871,MODIS
17-01-2011,2011,1,17,0.349949479103088,MODIS
25-01-2011,2011,1,25,0.350056380033493,MODIS
"02-02-2011",2011,2,2,0.322709172964096,MODIS
10-02-2011,2011,2,10,0.341437250375748,MODIS
18-02-2011,2011,2,18,0.359393954277039,MODIS
26-02-2011,2011,2,26,0.335124760866165,MODIS
"06-03-2011",2011,3,6,0.334294974803925,MODIS
14-03-2011,2011,3,14,0.336363643407822,MODIS
22-03-2011,2011,3,22,0.341994643211365,MODIS
30-03-2011,2011,3,30,0.319888740777969,MODIS
"07-04-2011",2011,4,7,0.378633141517639,MODIS
15-04-2011,2011,4,15,0.429301530122757,MODIS
23-04-2011,2011,4,23,0.392553508281708,MODIS
"01-05-2011",2011,5,1,0.333026260137558,MODIS
"09-05-2011",2011,5,9,0.359794408082962,MODIS
17-05-2011,2011,5,17,0.340160012245178,MODIS
25-05-2011,2011,5,25,0.35634371638298,MODIS
"02-06-2011",2011,6,2,0.462311565876007,MODIS
10-06-2011,2011,6,10,0.391168177127838,MODIS
18-06-2011,2011,6,18,nan,MODIS
26-06-2011,2011,6,26,nan,MODIS
