date,year,month,day,median_ndvi,landsat
02-02-2010,2010,2,2,0.693505734205246,MODIS
10-02-2010,2010,2,10,0.607976675033569,MODIS
18-02-2010,2010,2,18,0.662059783935547,MODIS
26-02-2010,2010,2,26,0.542269349098206,MODIS
06-03-2010,2010,3,6,0.53593322634697,MODIS
14-03-2010,2010,3,14,0.491307646036148,MODIS
22-03-2010,2010,3,22,0.45160011947155,MODIS
30-03-2010,2010,3,30,0.453071415424347,MODIS
07-04-2010,2010,4,7,0.480665996670723,MODIS
15-04-2010,2010,4,15,0.429335102438927,MODIS
23-04-2010,2010,4,23,0.426358550786972,MODIS
01-05-2010,2010,5,1,0.45582415163517,MODIS
09-05-2010,2010,5,9,0.448383092880249,MODIS
17-05-2010,2010,5,17,0.434125974774361,MODIS
25-05-2010,2010,5,25,0.427739679813385,MODIS
02-06-2010,2010,6,2,0.440017700195312,MODIS
10-06-2010,2010,6,10,0.483320415019989,MODIS
18-06-2010,2010,6,18,0.557838320732117,MODIS
26-06-2010,2010,6,26,0.65897336602211,MODIS
04-07-2010,2010,7,4,0.710762321949005,MODIS
13-08-2010,2010,8,13,0.707088112831116,MODIS
21-08-2010,2010,8,21,0.822444260120392,MODIS
06-09-2010,2010,9,6,0.84901088476181,MODIS
22-09-2010,2010,9,22,0.830852538347244,MODIS
30-09-2010,2010,9,30,0.822279810905457,MODIS
08-10-2010,2010,10,8,0.81062787771225,MODIS
24-10-2010,2010,10,24,0.770500510931015,MODIS
01-11-2010,2010,11,1,0.815478801727295,MODIS
09-11-2010,2010,11,9,0.810050845146179,MODIS
17-11-2010,2010,11,17,0.808988183736801,MODIS
25-11-2010,2010,11,25,0.790396273136139,MODIS
03-12-2010,2010,12,3,0.780604541301727,MODIS
11-12-2010,2010,12,11,0.780058950185776,MODIS
19-12-2010,2010,12,19,0.737318247556686,MODIS
27-12-2010,2010,12,27,0.742768108844757,MODIS
01-01-2011,2011,1,1,0.742768108844757,MODIS
09-01-2011,2011,1,9,0.662986427545547,MODIS
17-01-2011,2011,1,17,0.599839568138123,MODIS
25-01-2011,2011,1,25,0.566415667533875,MODIS
02-02-2011,2011,2,2,0.60394349694252,MODIS
10-02-2011,2011,2,10,0.548802971839905,MODIS
18-02-2011,2011,2,18,0.5621238052845,MODIS
26-02-2011,2011,2,26,0.573027521371841,MODIS
06-03-2011,2011,3,6,0.535996407270432,MODIS
14-03-2011,2011,3,14,0.520055413246155,MODIS
22-03-2011,2011,3,22,0.501572370529175,MODIS
30-03-2011,2011,3,30,0.455111339688301,MODIS
07-04-2011,2011,4,7,0.473883956670761,MODIS
15-04-2011,2011,4,15,0.503103971481323,MODIS
23-04-2011,2011,4,23,0.503594428300858,MODIS
01-05-2011,2011,5,1,0.505942195653915,MODIS
09-05-2011,2011,5,9,0.48657089471817,MODIS
17-05-2011,2011,5,17,0.458912044763565,MODIS
25-05-2011,2011,5,25,0.504143327474594,MODIS
02-06-2011,2011,6,2,0.54234766960144,MODIS
10-06-2011,2011,6,10,0.585749387741089,MODIS
