date,year,month,day,median_ndvi,landsat
"02-02-2010",2010,2,2,0.558645069599152,MODIS
10-02-2010,2010,2,10,0.505586564540863,MODIS
18-02-2010,2010,2,18,0.52448171377182,MODIS
26-02-2010,2010,2,26,0.429612636566162,MODIS
"06-03-2010",2010,3,6,0.421278893947601,MODIS
14-03-2010,2010,3,14,0.394845530390739,MODIS
22-03-2010,2010,3,22,0.368518248200417,MODIS
30-03-2010,2010,3,30,0.353262424468994,MODIS
"07-04-2010",2010,4,7,0.352944135665894,MODIS
15-04-2010,2010,4,15,0.343890503048897,MODIS
23-04-2010,2010,4,23,0.346366301178932,MODIS
"01-05-2010",2010,5,1,0.379919543862343,MODIS
"09-05-2010",2010,5,9,0.370563998818398,MODIS
17-05-2010,2010,5,17,0.358008086681366,MODIS
25-05-2010,2010,5,25,0.347049921751022,MODIS
"02-06-2010",2010,6,2,0.362746983766556,MODIS
10-06-2010,2010,6,10,0.388141736388206,MODIS
18-06-2010,2010,6,18,0.486151337623596,MODIS
26-06-2010,2010,6,26,0.58345639705658,MODIS
"04-07-2010",2010,7,4,0.605269432067871,MODIS
12-07-2010,2010,7,12,0.643144607543945,MODIS
20-07-2010,2010,7,20,0.728540003299713,MODIS
28-07-2010,2010,7,28,0.610494434833527,MODIS
"05-08-2010",2010,8,5,0.729787707328796,MODIS
13-08-2010,2010,8,13,0.702002584934235,MODIS
21-08-2010,2010,8,21,0.771292448043823,MODIS
29-08-2010,2010,8,29,0.728439271450043,MODIS
"06-09-2010",2010,9,6,0.753890335559845,MODIS
14-09-2010,2010,9,14,0.715471744537354,MODIS
22-09-2010,2010,9,22,0.811896920204163,MODIS
30-09-2010,2010,9,30,0.790629208087921,MODIS
"08-10-2010",2010,10,8,0.781980961561203,MODIS
16-10-2010,2010,10,16,0.647335886955261,MODIS
24-10-2010,2010,10,24,0.758776694536209,MODIS
"01-11-2010",2010,11,1,0.744160950183868,MODIS
"09-11-2010",2010,11,9,0.744404464960098,MODIS
17-11-2010,2010,11,17,0.734445333480835,MODIS
25-11-2010,2010,11,25,0.721136093139648,MODIS
"03-12-2010",2010,12,3,0.702328979969025,MODIS
11-12-2010,2010,12,11,0.696035265922546,MODIS
19-12-2010,2010,12,19,0.65455287694931,MODIS
27-12-2010,2010,12,27,0.647681057453156,MODIS
"01-01-2011",2011,1,1,0.647741377353668,MODIS
"09-01-2011",2011,1,9,0.60445910692215,MODIS
17-01-2011,2011,1,17,0.564738243818283,MODIS
25-01-2011,2011,1,25,0.528430640697479,MODIS
"02-02-2011",2011,2,2,0.535272717475891,MODIS
10-02-2011,2011,2,10,0.484743937849998,MODIS
18-02-2011,2011,2,18,0.486631229519844,MODIS
26-02-2011,2011,2,26,0.47949743270874,MODIS
"06-03-2011",2011,3,6,0.449928492307663,MODIS
14-03-2011,2011,3,14,0.41822250187397,MODIS
22-03-2011,2011,3,22,0.390981569886208,MODIS
30-03-2011,2011,3,30,0.358608067035675,MODIS
"07-04-2011",2011,4,7,0.375148862600327,MODIS
15-04-2011,2011,4,15,0.401168167591095,MODIS
23-04-2011,2011,4,23,0.407896891236305,MODIS
"01-05-2011",2011,5,1,0.410714492201805,MODIS
"09-05-2011",2011,5,9,0.398430064320564,MODIS
17-05-2011,2011,5,17,0.406586945056915,MODIS
25-05-2011,2011,5,25,0.423085451126099,MODIS
"02-06-2011",2011,6,2,0.459656149148941,MODIS
10-06-2011,2011,6,10,0.485781356692314,MODIS
18-06-2011,2011,6,18,0.618633568286896,MODIS
26-06-2011,2011,6,26,0.643930613994598,MODIS
