"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-02,0.407911089897156,"MODIS→ETM+",2010,2,2,0.407911089897156,0.421861575568874
2010-02-07,0.432864119136706,"MODIS→ETM+",2010,2,7,0.432864119136706,0.422042312403265
2010-02-12,0.438812837280333,"MODIS→ETM+",2010,2,12,0.438812837280333,0.420526962078832
2010-02-17,0.419286723240279,"MODIS→ETM+",2010,2,17,0.419286723240279,0.417315524595577
2010-02-22,0.398269381761551,"MODIS→ETM+",2010,2,22,0.398269381761551,0.412407999953497
2010-02-27,0.387618983040099,"MODIS→ETM+",2010,2,27,0.387618983040099,0.40039600925358
2010-03-04,0.406248156618328,"MODIS→ETM+",2010,3,4,0.406248156618328,0.391382601341322
2010-03-09,0.397412650135812,"MODIS→ETM+",2010,3,9,0.397412650135812,0.388543155109482
2010-03-14,0.372365443706512,"MODIS→ETM+",2010,3,14,0.372365443706512,0.385965882550425
2010-03-19,0.378076853710227,"MODIS→ETM+",2010,3,19,0.378076853710227,0.380561555915921
2010-03-24,0.378749867133797,"MODIS→ETM+",2010,3,24,0.378749867133797,0.372137085525335
2010-03-29,0.365447517857886,"MODIS→ETM+",2010,3,29,0.365447517857886,0.364332166157717
2010-04-03,0.356289163768291,"MODIS→ETM+",2010,4,3,0.356289163768291,0.354685813585103
2010-04-08,0.344957720525097,"MODIS→ETM+",2010,4,8,0.344957720525097,0.341751609646225
2010-04-13,0.324399764809758,"MODIS→ETM+",2010,4,13,0.324399764809758,0.330860918666816
2010-04-18,0.319056023878511,"MODIS→ETM+",2010,4,18,0.319056023878511,0.323775313624018
2010-04-23,0.324454391002655,"MODIS→ETM+",2010,4,23,0.324454391002655,0.320519465332226
2010-04-28,0.322189030458685,"MODIS→ETM+",2010,4,28,0.322189030458685,0.321781282928913
2010-05-03,0.323315200582147,"MODIS→ETM+",2010,5,3,0.323315200582147,0.326306106797556
2010-05-08,0.329958042372017,"MODIS→ETM+",2010,5,8,0.329958042372017,0.327683606551845
2010-05-13,0.331317971587181,"MODIS→ETM+",2010,5,13,0.331317971587181,0.326324409400173
2010-05-18,0.328796149922069,"MODIS→ETM+",2010,5,18,0.328796149922069,0.327013068856423
2010-05-23,0.321308838579804,"MODIS→ETM+",2010,5,23,0.321308838579804,0.325820249119864
2010-05-28,0.326273020531983,"MODIS→ETM+",2010,5,28,0.326273020531983,0.323898385490211
2010-06-02,0.340229150772095,"MODIS→ETM+",2010,6,2,0.340229150772095,0.334241097318573
2010-06-07,0.343688781960402,"MODIS→ETM+",2010,6,7,0.343688781960402,0.357899574169146
2010-06-12,0.376107296879963,"MODIS→ETM+",2010,6,12,0.376107296879963,0.392356337382083
2010-06-17,0.445446657156898,"MODIS→ETM+",2010,6,17,0.445446657156898,0.43176182681844
2010-06-22,0.482034044202745,"MODIS→ETM+",2010,6,22,0.482034044202745,0.472145079039292
2010-06-27,0.510673967440983,"MODIS→ETM+",2010,6,27,0.510673967440983,0.509701175611755
2010-07-02,0.533684148497872,"MODIS→ETM+",2010,7,2,0.533684148497872,0.536216501617498
2010-07-07,0.551771580044075,"MODIS→ETM+",2010,7,7,0.551771580044075,0.55191800994913
2010-07-12,0.565643254750252,"MODIS→ETM+",2010,7,12,0.565643254750252,0.565643254750252
2010-07-17,0.576006165287063,"MODIS→ETM+",2010,7,17,0.576006165287063,0.576006165287063
2010-07-22,0.583567304325171,"MODIS→ETM+",2010,7,22,0.583567304325171,0.583567304325171
2010-07-27,0.589033664535235,"MODIS→ETM+",2010,7,27,0.589033664535235,0.589033664535235
2010-08-01,0.593112238587916,"MODIS→ETM+",2010,8,1,0.593112238587916,0.593112238587916
2010-08-06,0.596510019153875,"MODIS→ETM+",2010,8,6,0.596510019153875,0.596510019153875
2010-08-11,0.599933998903774,"MODIS→ETM+",2010,8,11,0.599933998903774,0.599933998903774
2010-08-16,0.604091170508272,"MODIS→ETM+",2010,8,16,0.604091170508272,0.604091170508272
