"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-02,0.693505734205246,"MODIS",2010,2,2,0.693505734205246,0.67769717779027
2010-02-07,0.629824571631616,"MODIS",2010,2,7,0.629824571631616,0.657513175881933
2010-02-12,0.615756132872775,"MODIS",2010,2,12,0.615756132872775,0.636408366599864
2010-02-17,0.662665136012947,"MODIS",2010,2,17,0.662665136012947,0.614382749944062
2010-02-22,0.600260870349752,"MODIS",2010,2,22,0.600260870349752,0.591436325914529
2010-02-27,0.54040777112635,"MODIS",2010,2,27,0.54040777112635,0.572052534522471
2010-03-04,0.537098514132471,"MODIS",2010,3,4,0.537098514132471,0.54189657685046
2010-03-09,0.524476335651487,"MODIS",2010,3,9,0.524476335651487,0.506098120902128
2010-03-14,0.491307646036148,"MODIS",2010,3,14,0.491307646036148,0.485572652442917
2010-03-19,0.463258289484656,"MODIS",2010,3,19,0.463258289484656,0.471249938199201
2010-03-24,0.448460293002427,"MODIS",2010,3,24,0.448460293002427,0.462529346317322
2010-03-29,0.451355967554264,"MODIS",2010,3,29,0.451355967554264,0.45921148274114
2010-04-03,0.470168842934072,"MODIS",2010,4,3,0.470168842934072,0.457675101876549
2010-04-08,0.477695794950705,"MODIS",2010,4,8,0.477695794950705,0.452935805644798
2010-04-13,0.440617727115751,"MODIS",2010,4,13,0.440617727115751,0.446610950318934
2010-04-18,0.42325163721398,"MODIS",2010,4,18,0.42325163721398,0.440973825275294
2010-04-23,0.426358550786972,"MODIS",2010,4,23,0.426358550786972,0.436975701046463
2010-04-28,0.446051995269954,"MODIS",2010,4,28,0.446051995269954,0.438442464585913
2010-05-03,0.456718637840822,"MODIS",2010,5,3,0.456718637840822,0.445494147304604
2010-05-08,0.449891675933031,"MODIS",2010,5,8,0.449891675933031,0.447425743793825
2010-05-13,0.441188611090183,"MODIS",2010,5,13,0.441188611090183,0.442683667807035
2010-05-18,0.432823468625429,"MODIS",2010,5,18,0.432823468625429,0.433852565829723
2010-05-23,0.427839446463622,"MODIS",2010,5,23,0.427839446463622,0.428116272800567
2010-05-28,0.4296135322802,"MODIS",2010,5,28,0.4296135322802,0.430278971814449
2010-06-02,0.440017700195312,"MODIS",2010,6,2,0.440017700195312,0.441489597796855
2010-06-07,0.463432238204404,"MODIS",2010,6,7,0.463432238204404,0.465594857344474
2010-06-12,0.499131234129891,"MODIS",2010,6,12,0.499131234129891,0.504702687134751
2010-06-17,0.547036525706062,"MODIS",2010,6,17,0.547036525706062,0.554984657814477
2010-06-22,0.609826402738691,"MODIS",2010,6,22,0.609826402738691,0.609063313968353
2010-06-27,0.668167322390946,"MODIS",2010,6,27,0.668167322390946,0.658165567074981
2010-07-02,0.702664711466059,"MODIS",2010,7,2,0.702664711466059,0.695025977322723
2010-07-07,0.717403042905265,"MODIS",2010,7,7,0.717403042905265,0.714998570964192
2010-07-12,0.71754781627655,"MODIS",2010,7,12,0.71754781627655,0.717572656427042
2010-07-17,0.7083199558591,"MODIS",2010,7,17,0.7083199558591,0.708400080262718
2010-07-22,0.694659347986802,"MODIS",2010,7,22,0.694659347986802,0.69468489689092
2010-07-27,0.681505878993543,"MODIS",2010,7,27,0.681505878993543,0.680076701852304
2010-08-01,0.673799435213208,"MODIS",2010,8,1,0.673799435213208,0.672370163499348
2010-08-06,0.676479902979685,"MODIS",2010,8,6,0.676479902979685,0.685237731558289
2010-08-11,0.69448716862686,"MODIS",2010,8,11,0.69448716862686,0.71515353069486
2010-08-16,0.748482067042238,"MODIS",2010,8,16,0.748482067042238,0.754899424629871
2010-08-21,0.822444260120392,"MODIS",2010,8,21,0.822444260120392,0.795887117129842
2010-08-26,0.840196963288352,"MODIS",2010,8,26,0.840196963288352,0.830085802550245
2010-08-31,0.847224825804286,"MODIS",2010,8,31,0.847224825804286,0.850586702232347
2010-09-05,0.848861238008448,"MODIS",2010,9,5,0.848861238008448,0.853838225819063
2010-09-10,0.847367168815846,"MODIS",2010,9,10,0.847367168815846,0.846751924785966
2010-09-15,0.8409620354019,"MODIS",2010,9,15,0.8409620354019,0.841391343119575
2010-09-20,0.833357714208338,"MODIS",2010,9,20,0.833357714208338,0.835457864834148
2010-09-25,0.827735989019857,"MODIS",2010,9,25,0.827735989019857,0.829589197417844
2010-09-30,0.822279810905457,"MODIS",2010,9,30,0.822279810905457,0.822389031674788
2010-10-05,0.815748764303862,"MODIS",2010,10,5,0.815748764303862,0.812060074018655
2010-10-10,0.805527741904371,"MODIS",2010,10,10,0.805527741904371,0.797571250656542
2010-10-15,0.787233764058328,"MODIS",2010,10,15,0.787233764058328,0.787280589524591
2010-10-20,0.771780125796795,"MODIS",2010,10,20,0.771780125796795,0.784598665442727
2010-10-25,0.773355011144304,"MODIS",2010,10,25,0.773355011144304,0.787364045958866
2010-10-30,0.806253997026943,"MODIS",2010,10,30,0.806253997026943,0.794951426517572
2010-11-04,0.816745978058996,"MODIS",2010,11,4,0.816745978058996,0.805738611140782
2010-11-09,0.810050845146179,"MODIS",2010,11,9,0.810050845146179,0.812839813026135
2010-11-14,0.809679989733334,"MODIS",2010,11,14,0.809679989733334,0.811447586987257
2010-11-19,0.806322740756003,"MODIS",2010,11,19,0.806322740756003,0.802139650189929
2010-11-24,0.792511958573844,"MODIS",2010,11,24,0.792511958573844,0.79493604536659
2010-11-29,0.783773953487114,"MODIS",2010,11,29,0.783773953487114,0.790740647647876
2010-12-04,0.780566478132157,"MODIS",2010,12,4,0.780566478132157,0.781186092043807
2010-12-09,0.780350253101282,"MODIS",2010,12,9,0.780350253101282,0.770123801487511
