"date","median_ndvi","landsat","year","month","day"
2010-02-02,0.693505734205246,"MODIS",2010,2,2
2010-02-07,0.629824571631616,"MODIS",2010,2,7
2010-02-12,0.615756132872775,"MODIS",2010,2,12
2010-02-17,0.662665136012947,"MODIS",2010,2,17
2010-02-22,0.600260870349752,"MODIS",2010,2,22
2010-02-27,0.54040777112635,"MODIS",2010,2,27
2010-03-04,0.537098514132471,"MODIS",2010,3,4
2010-03-09,0.524476335651487,"MODIS",2010,3,9
2010-03-14,0.491307646036148,"MODIS",2010,3,14
2010-03-19,0.463258289484656,"MODIS",2010,3,19
2010-03-24,0.448460293002427,"MODIS",2010,3,24
2010-03-29,0.451355967554264,"MODIS",2010,3,29
2010-04-03,0.470168842934072,"MODIS",2010,4,3
2010-04-08,0.477695794950705,"MODIS",2010,4,8
2010-04-13,0.440617727115751,"MODIS",2010,4,13
2010-04-18,0.42325163721398,"MODIS",2010,4,18
2010-04-23,0.426358550786972,"MODIS",2010,4,23
2010-04-28,0.446051995269954,"MODIS",2010,4,28
2010-05-03,0.456718637840822,"MODIS",2010,5,3
2010-05-08,0.449891675933031,"MODIS",2010,5,8
2010-05-13,0.441188611090183,"MODIS",2010,5,13
2010-05-18,0.432823468625429,"MODIS",2010,5,18
2010-05-23,0.427839446463622,"MODIS",2010,5,23
2010-05-28,0.4296135322802,"MODIS",2010,5,28
2010-06-02,0.440017700195312,"MODIS",2010,6,2
2010-06-07,0.463432238204404,"MODIS",2010,6,7
2010-06-12,0.499131234129891,"MODIS",2010,6,12
2010-06-17,0.547036525706062,"MODIS",2010,6,17
2010-06-22,0.609826402738691,"MODIS",2010,6,22
2010-06-27,0.668167322390946,"MODIS",2010,6,27
2010-07-02,0.702664711466059,"MODIS",2010,7,2
2010-07-07,0.717403042905265,"MODIS",2010,7,7
2010-07-12,0.71754781627655,"MODIS",2010,7,12
2010-07-17,0.7083199558591,"MODIS",2010,7,17
2010-07-22,0.694659347986802,"MODIS",2010,7,22
2010-07-27,0.681505878993543,"MODIS",2010,7,27
2010-08-01,0.673799435213208,"MODIS",2010,8,1
2010-08-06,0.676479902979685,"MODIS",2010,8,6
2010-08-11,0.69448716862686,"MODIS",2010,8,11
2010-08-16,0.748482067042238,"MODIS",2010,8,16
2010-08-21,0.822444260120392,"MODIS",2010,8,21
2010-08-26,0.840196963288352,"MODIS",2010,8,26
2010-08-31,0.847224825804286,"MODIS",2010,8,31
2010-09-05,0.848861238008448,"MODIS",2010,9,5
2010-09-10,0.847367168815846,"MODIS",2010,9,10
2010-09-15,0.8409620354019,"MODIS",2010,9,15
2010-09-20,0.833357714208338,"MODIS",2010,9,20
2010-09-25,0.827735989019857,"MODIS",2010,9,25
2010-09-30,0.822279810905457,"MODIS",2010,9,30
2010-10-05,0.815748764303862,"MODIS",2010,10,5
2010-10-10,0.805527741904371,"MODIS",2010,10,10
2010-10-15,0.787233764058328,"MODIS",2010,10,15
2010-10-20,0.771780125796795,"MODIS",2010,10,20
2010-10-25,0.773355011144304,"MODIS",2010,10,25
2010-10-30,0.806253997026943,"MODIS",2010,10,30
2010-11-04,0.816745978058996,"MODIS",2010,11,4
2010-11-09,0.810050845146179,"MODIS",2010,11,9
2010-11-14,0.809679989733334,"MODIS",2010,11,14
2010-11-19,0.806322740756003,"MODIS",2010,11,19
2010-11-24,0.792511958573844,"MODIS",2010,11,24
2010-11-29,0.783773953487114,"MODIS",2010,11,29
2010-12-04,0.780566478132157,"MODIS",2010,12,4
2010-12-09,0.780350253101282,"MODIS",2010,12,9
2010-12-14,0.76794107848964,"MODIS",2010,12,14
2010-12-19,0.737318247556686,"MODIS",2010,12,19
2010-12-24,0.739404980995459,"MODIS",2010,12,24
2010-12-29,0.742768108844757,"MODIS",2010,12,29
2011-01-03,0.733652108814567,"MODIS",2011,1,3
2011-01-08,0.67325390066253,"MODIS",2011,1,8
2011-01-13,0.6285156365484,"MODIS",2011,1,13
2011-01-18,0.593754268949852,"MODIS",2011,1,18
2011-01-23,0.569086217321456,"MODIS",2011,1,23
2011-01-28,0.579364283446921,"MODIS",2011,1,28
2011-02-02,0.60394349694252,"MODIS",2011,2,2
2011-02-07,0.568538748892024,"MODIS",2011,2,7
2011-02-12,0.547376142116264,"MODIS",2011,2,12
2011-02-17,0.560106366378022,"MODIS",2011,2,17
2011-02-22,0.570722660049796,"MODIS",2011,2,22
2011-02-27,0.570548217889154,"MODIS",2011,2,27
2011-03-04,0.54489475931041,"MODIS",2011,3,4
2011-03-09,0.528585559106432,"MODIS",2011,3,9
2011-03-14,0.520055413246155,"MODIS",2011,3,14
2011-03-19,0.510664391724277,"MODIS",2011,3,19
2011-03-24,0.490395401488058,"MODIS",2011,3,24
2011-03-29,0.45798869234568,"MODIS",2011,3,29
2011-04-03,0.459767582826316,"MODIS",2011,4,3
2011-04-08,0.477416001375238,"MODIS",2011,4,8
2011-04-13,0.499457197714505,"MODIS",2011,4,13
2011-04-18,0.503461413238331,"MODIS",2011,4,18
2011-04-23,0.503594428300858,"MODIS",2011,4,23
2011-04-28,0.506458486074815,"MODIS",2011,4,28
2011-05-03,0.502820731839165,"MODIS",2011,5,3
2011-05-08,0.489537349698366,"MODIS",2011,5,8
2011-05-13,0.468703808262944,"MODIS",2011,5,13
2011-05-18,0.46112608409021,"MODIS",2011,5,18
2011-05-23,0.491621226072311,"MODIS",2011,5,23
2011-05-28,0.518756223958917,"MODIS",2011,5,28
2011-06-02,0.54234766960144,"MODIS",2011,6,2
2011-06-07,0.569245343125658,"MODIS",2011,6,7
