"date","median_ndvi","landsat","year","month","day"
2010-02-02,0.558645069599152,"MODIS",2010,2,2
2010-02-07,0.520213460898958,"MODIS",2010,2,7
2010-02-12,0.507917459588498,"MODIS",2010,2,12
2010-02-17,0.527071745425928,"MODIS",2010,2,17
2010-02-22,0.475260418135536,"MODIS",2010,2,22
2010-02-27,0.427096185544196,"MODIS",2010,2,27
2010-03-04,0.422592862596781,"MODIS",2010,3,4
2010-03-09,0.414064601393092,"MODIS",2010,3,9
2010-03-14,0.394845530390739,"MODIS",2010,3,14
2010-03-19,0.37757541940664,"MODIS",2010,3,19
2010-03-24,0.363249064586522,"MODIS",2010,3,24
2010-03-29,0.353711988547811,"MODIS",2010,3,29
2010-04-03,0.353062552635554,"MODIS",2010,4,3
2010-04-08,0.352526232315548,"MODIS",2010,4,8
2010-04-13,0.345469644803368,"MODIS",2010,4,13
2010-04-18,0.343836271500749,"MODIS",2010,4,18
2010-04-23,0.346366301178932,"MODIS",2010,4,23
2010-04-28,0.368172979318062,"MODIS",2010,4,28
2010-05-03,0.380672690342181,"MODIS",2010,5,3
2010-05-08,0.372179906305974,"MODIS",2010,5,8
2010-05-13,0.364386206492782,"MODIS",2010,5,13
2010-05-18,0.356379647899303,"MODIS",2010,5,18
2010-05-23,0.347877820138819,"MODIS",2010,5,23
2010-05-28,0.350557864832808,"MODIS",2010,5,28
2010-06-02,0.362746983766556,"MODIS",2010,6,2
2010-06-07,0.372874065753422,"MODIS",2010,6,7
2010-06-12,0.407554917852394,"MODIS",2010,6,12
2010-06-17,0.473437460328568,"MODIS",2010,6,17
2010-06-22,0.539566152729094,"MODIS",2010,6,22
2010-06-27,0.589685637969524,"MODIS",2010,6,27
2010-07-02,0.600456148386002,"MODIS",2010,7,2
2010-07-07,0.616207905637566,"MODIS",2010,7,7
2010-07-12,0.643144607543945,"MODIS",2010,7,12
2010-07-17,0.706676099545268,"MODIS",2010,7,17
2010-07-22,0.728950627333155,"MODIS",2010,7,22
2010-07-27,0.729662942866845,"MODIS",2010,7,27
2010-08-01,0.729918562877145,"MODIS",2010,8,1
2010-08-06,0.728256159644992,"MODIS",2010,8,6
2010-08-11,0.703399292606077,"MODIS",2010,8,11
2010-08-16,0.724303634633543,"MODIS",2010,8,16
2010-08-21,0.771292448043823,"MODIS",2010,8,21
2010-08-26,0.774842522841936,"MODIS",2010,8,26
2010-08-31,0.76174770045327,"MODIS",2010,8,31
2010-09-05,0.75319241714169,"MODIS",2010,9,5
2010-09-10,0.765446261037141,"MODIS",2010,9,10
2010-09-15,0.789418463689799,"MODIS",2010,9,15
2010-09-20,0.808941700204742,"MODIS",2010,9,20
2010-09-25,0.807048920134548,"MODIS",2010,9,25
2010-09-30,0.790629208087921,"MODIS",2010,9,30
2010-10-05,0.784885836794274,"MODIS",2010,10,5
2010-10-10,0.779404326109216,"MODIS",2010,10,10
2010-10-15,0.77256245809258,"MODIS",2010,10,15
2010-10-20,0.765140013769269,"MODIS",2010,10,20
2010-10-25,0.756992355512921,"MODIS",2010,10,25
2010-10-30,0.746840726118534,"MODIS",2010,10,30
2010-11-04,0.743612302059773,"MODIS",2010,11,4
2010-11-09,0.744404464960098,"MODIS",2010,11,9
2010-11-14,0.738873735564994,"MODIS",2010,11,14
2010-11-19,0.731482434319332,"MODIS",2010,11,19
2010-11-24,0.723085731122409,"MODIS",2010,11,24
2010-11-29,0.710822968654242,"MODIS",2010,11,29
2010-12-04,0.701446638149839,"MODIS",2010,12,4
2010-12-09,0.698957521178814,"MODIS",2010,12,9
2010-12-14,0.682586480516066,"MODIS",2010,12,14
2010-12-19,0.65455287694931,"MODIS",2010,12,19
2010-12-24,0.648226641642396,"MODIS",2010,12,24
2010-12-29,0.648692973971367,"MODIS",2010,12,29
2011-01-03,0.63988740989007,"MODIS",2011,1,3
2011-01-08,0.609995506465203,"MODIS",2011,1,8
2011-01-13,0.584162758663297,"MODIS",2011,1,13
2011-01-18,0.559741495089838,"MODIS",2011,1,18
2011-01-23,0.534393581328913,"MODIS",2011,1,23
2011-01-28,0.53035722275672,"MODIS",2011,1,28
2011-02-02,0.535272717475891,"MODIS",2011,2,2
2011-02-07,0.502374342700932,"MODIS",2011,2,7
2011-02-12,0.48174168751575,"MODIS",2011,2,12
2011-02-17,0.486468678253004,"MODIS",2011,2,17
2011-02-22,0.485030345618725,"MODIS",2011,2,22
2011-02-27,0.476889480574755,"MODIS",2011,2,27
