"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-02,0.537182450294495,"MODIS",2010,2,2,0.537182450294495,0.527878522997278
2010-02-07,0.474965575500392,"MODIS",2010,2,7,0.474965575500392,0.491828600667015
2010-02-12,0.445977709256113,"MODIS",2010,2,12,0.445977709256113,0.459097583175149
2010-02-17,0.458525896188803,"MODIS",2010,2,17,0.458525896188803,0.429685470521678
2010-02-22,0.413552137091756,"MODIS",2010,2,22,0.413552137091756,0.403592262706604
2010-02-27,0.363456469814992,"MODIS",2010,2,27,0.363456469814992,0.383382507012522
2010-03-04,0.355695201316848,"MODIS",2010,3,4,0.355695201316848,0.362065737766165
2010-03-09,0.346932634012773,"MODIS",2010,3,9,0.346932634012773,0.341662640954232
2010-03-14,0.335609436035156,"MODIS",2010,3,14,0.335609436035156,0.331258998567428
2010-03-19,0.323940690461313,"MODIS",2010,3,19,0.323940690461313,0.322221622718533
2010-03-24,0.310292606242001,"MODIS",2010,3,24,0.310292606242001,0.308908151041865
2010-03-29,0.294698933372274,"MODIS",2010,3,29,0.294698933372274,0.297748023259314
2010-04-03,0.286209182813763,"MODIS",2010,4,3,0.286209182813763,0.289248197307725
2010-04-08,0.282653467234922,"MODIS",2010,4,8,0.282653467234922,0.28077800631449
2010-04-13,0.283407280454412,"MODIS",2010,4,13,0.283407280454412,0.277715895058853
2010-04-18,0.278874341514893,"MODIS",2010,4,18,0.278874341514893,0.282528905465204
2010-04-23,0.275854557752609,"MODIS",2010,4,23,0.275854557752609,0.290550884500688
2010-04-28,0.30232322102529,"MODIS",2010,4,28,0.30232322102529,0.298524134102463
2010-05-03,0.316848132060841,"MODIS",2010,5,3,0.316848132060841,0.303767412431988
2010-05-08,0.307512566650985,"MODIS",2010,5,8,0.307512566650985,0.303041821669224
2010-05-13,0.295463128015399,"MODIS",2010,5,13,0.295463128015399,0.295582385258996
2010-05-18,0.281975839898223,"MODIS",2010,5,18,0.281975839898223,0.284760682239001
2010-05-23,0.268411402357742,"MODIS",2010,5,23,0.268411402357742,0.276721762472663
2010-05-28,0.274114967461123,"MODIS",2010,5,28,0.274114967461123,0.270811450465571
2010-06-02,0.28987991809845,"MODIS",2010,6,2,0.28987991809845,0.27132625764217
2010-06-07,0.29214097561937,"MODIS",2010,6,7,0.29214097561937,0.293500668483215
2010-06-12,0.31010318201303,"MODIS",2010,6,12,0.31010318201303,0.344348932928227
2010-06-17,0.389228074914622,"MODIS",2010,6,17,0.389228074914622,0.413709500824593
2010-06-22,0.512312785158597,"MODIS",2010,6,22,0.512312785158597,0.493308167869001
2010-06-27,0.605513104188575,"MODIS",2010,6,27,0.605513104188575,0.573767689205461
2010-07-02,0.6432896162758,"MODIS",2010,7,2,0.6432896162758,0.639655438271715
2010-07-07,0.672594868276918,"MODIS",2010,7,7,0.672594868276918,0.679836950496202
2010-07-12,0.694734946949317,"MODIS",2010,7,12,0.694734946949317,0.698884625140158
2010-07-17,0.711015939050385,"MODIS",2010,7,17,0.711015939050385,0.711015939050385
2010-07-22,0.722743931337511,"MODIS",2010,7,22,0.722743931337511,0.722743931337511
